No,Nama Mitra,Link Instagram,Gunung,Jalur via,Nama Paket,Harga Paket,max kuota (harga),Hari,Transportasi PP,Simaksi,Guide,Rumah singgah/Homestay,Makan (sesudah atau Sebelum pendakian),Makan (selama pendakian),Air mineral,P3K standard,Alat Masak,Tenda Toilet,Porter Team,Tenda,alat makan,Dokumentasi,Private/Tidak,Logistik,Coffe Break/Buah,BBM,Tiket,Jeep,Tambahan,Asuransi,Tanggal Trip,Meeting Point
1,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Gede,Putri,A,600000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2024","Cawang Jakarta Timur,Jalan Tol Bogor"
2,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Ciremai,Apuy,A,650000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2025","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
3,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Ciremai,Apuy,B,450000,1,2 hari 1 malam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2026","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
4,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Papandayan,Camp David,A,650000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2027","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
5,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Papandayan,Camp David,B,475000,1,2 hari 1 malam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2028","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
6,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Merbabu,Selo,A,750000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2029","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
7,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Merbabu,Selo,B,550000,1,2 hari 1 malam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2030","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
8,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Merbabu,Suwanting,A,800000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2031","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
9,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Merbabu,Suwanting,B,575000,1,2 hari 1 malam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2032","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
10,Jaguar Adventure Indonesia,https://www.instagram.com/jaguaradventureindonesia,Prau,Wates,A,650000,1,2 hari 1 malam,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,-,0,"7-9 juni, 14-16 juni, 21-23 juni, 28-30 juni, 5-7 juli, 12-14 juli, 19-21 juli, 26-28 juli, 2-4 agustus, 9-11 agustus, 16-18 agustus, 23-25 agustus, 30 agustus-1 september, 6-8 september, 13-15 september, 20-22 september, 27-29 september, 4-6 oktober, 11-13 oktober, 18-20 oktober, 25-27 oktober, 1-3 november, 8-10 november, 15-17 november, 22-24 november, 29 november-1 desember, 6-7 desember, 13-15 desember, 20-22 desember, 27-29 desember 2033","Depok Jatijajar, Cawang Jakarta Timur, Tol Bekasi Timur/Barat"
